Who?	Sino?
Tom paid me.	Binayaran ako ni Tom.
Tom shouted.	Sumigaw si Tom.
Tom slipped.	Nadulas si Tom.
Tom sneezed.	Bumahing si Tom.
Tom sweated.	Nagpawis si Tom.
Tom teaches.	Nagtuturo si Tom.
Tom tripped.	Nadapa si Tom.
Walk slowly.	Bagalan mo ang iyong paglakad.
Walk slowly.	Maglakad ka nang mabagal.
We remember.	Naaalala namin.
Who cheated?	Sinong nandaya?
Who escaped?	Sinong nakatakas?
Who escaped?	Sinong nakawala?
You cheated.	Nandaya ka.
You fainted.	Nahimatay ka.
Are you lost?	Nawawala ka ba?
Are you okay?	Ayos ka ba?
Are you okay?	Ayos ka lang ba?
Can you swim?	Kaya mo bang lumangoy?
Come forward.	Sulong.
Come forward.	Sumulong ka.
Come forward.	Sumulong kayo.
Come quickly!	Halika!
Come quickly!	Halikayo!
Do you agree?	Sang-ayon ka ba?
Drive slowly.	Dahandahang magmaneho.
Have a drink.	Uminom ka.
He is asleep.	Natutulog siya.
He is cranky.	Masungit siya.
How arrogant!	Ang yabang!
How arrogant!	Ang arogante!
I am married.	Kasal ako.
I am working.	Nagtatrabaho ako.
I don't care.	Wala akong pakialam.
I drink milk.	Nainom ako ng gatas.
I feel funny.	Kakaiba ang pakiramdam ko.
I hugged Tom.	Niyakap ko si Tom.
I kissed Tom.	Hinalikan ko si Tom.
I play piano.	Tumutugtog ako ng piano.
I understand.	Naiintindihan ko.
I understood.	Naiintindihan ko.
I won't lose!	Di ako magpapatalo!
I've seen it.	Nakita ko na.
Is that okay?	Ayos ba iyon?
It's bedtime.	Oras na ng pagtulog.
It's too big.	Masyadong malaki.
Kiss me, Tom.	Halikan mo ako, Tom.
Life goes on.	Tumutuloy ang buhay.
Mary is tall.	Matangkad si Mary.
Nobody cares.	Walang may pakialam.
Now have fun.	Magpakasaya kayo.
Please hurry.	Pakidalian.
Someone came.	May dumating.
Speak softly.	Magsalita ka nang mahinhin.
Stop smoking.	Tigilan mo nga ang paninigarilyo.
Stop smoking.	Tigilan mo ang iyong paninigarilyo.
Thanks again.	Salamat ulit.
They escaped.	Nakawala sila.
They laughed.	Tumawa sila.
Tom answered.	Sumagot si Tom.
Tom chuckled.	Tumawa si Tom.
Tom listened.	Nakinig si Tom.
Tom loved me.	Minahal ako ni Tom.
Tom loves me.	Mahal ako ni Tom.
Tom screamed.	Sumigaw si Tom.
Tom's a liar.	Sinungaling si Tom.
Unbelievable!	Hindi kapanipaniwala!
Wait outside.	Magintay ka sa labas.
What is that?	Ano iyan?
Who listened?	Sinong nakinig?
Years passed.	Lumipas ang mga taon.
You are rich.	Mayaman ka.
You are rich.	Ikaw ay mayaman.
You go first.	Mauna ka.
You may swim.	Maaari kang lumangoy.
You promised.	Ipinangako mo.
Don't be long.	Huwag kang magtagal.
Draw a circle.	Gumuhit ka ng isang bilog.
Eat and drink.	Kumain at uminom.
Flowers bloom.	Sumisibol ang mga bulaklak.
He is my boss.	Hepe ko siya.
He looks pale.	Mukha siyang maputla.
He needs help.	Kailangan niya ng tulong.
Help yourself.	Tulungan mo ang iyong sarili.
How about you?	Eh ikaw?
How beautiful!	Kay ganda!
How delicious!	Napakasarap!
Hurry up, Tom.	Bilisan mo, Tom.
I believe you.	Naniniwala ako sayo.
I believe you.	Pinaniniwalaan kita.
I can't sleep.	Hindi ako makatulog.
I did see him.	Nakita ko nga siya.
I like apples.	Gusto ko ng mansanas.
I woke you up.	Ginising kita.
I'll call him.	Tatawagin ko siya.
I'll call you.	Tatawagan kita.
I'll eat here.	Dito ako kakain.
I'll take him.	Kukunin ko sya.
I'm Tom's mom.	Ako ang nanay ni Tom.
It's my treat.	Blow-awt ko.
Just watch me.	Basta tingnan ako.
Let him enter.	Papasukin mo siya.
May I go home?	Puwede ba akong umuwi na?
Memorize this.	Kabisaduhin ito.
Nobody called.	Walang tumawag.
People change.	Nagiiba ang mga tao.
She helps him.	Siya ang tumutulong sa kanya.
Start running.	Simulan ang pagtakbo.
Start running.	Magsimula kang tumakbo.
Start singing.	Simulan ang pagkanta.
Start singing.	Magsimula kang kumanta.
Start writing.	Magsimula kang magsulat.
Start writing.	Simulan ang pagsusulat.
That's a joke.	Kalokohan iyon.
That's a tree.	Puno iyon.
They are dead.	Patay na sila.
They embraced.	Nagyakapan sila.
Tom applauded.	Pumalakpak si Tom.
Tom confessed.	Umamin si Tom.
Tom hugged me.	Niyakap ako ni Tom.
Tom remembers.	Naaalala ni Tom.
We must check.	Kailangan nating siguraduhin.
We understand.	Naiintindihan namin.
We want a car.	Gusto namin ng kotse.
What was that?	Ano yun?
When was that?	Kailan yun?
When's dinner?	Kailan ang almusal?
Where are you?	Nasaan ka?
Where are you?	Nasaan kayo?
Which is mine?	Alin yung saakin?
Who is coming?	Sino'ng darating?
Who remembers?	Sinong nakakaalala?
Who's winning?	Sinong nananalo?
Whose is this?	Kanino ito?
You are lying.	Nagsisinungaling ka.
You look busy.	Mukhang bisi ka.
You should go.	Dapat pumunta ka.
You'll go far.	Malayo ang mararating mo.
You're stupid!	Bobo ka!
Come back here.	Bumalik ka dito.
Come down here!	Bumaba ka dito!
Drink some tea.	Uminom ka ng tsa.
Everybody left.	Umalis ang lahat.
Everybody left.	Lahat ay umalis.
Everybody paid.	Nagbayad ang lahat.
Everyone stood.	Ang bawat tao'y tumayo.
Form two lines.	Pumila nang dalawang linya.
Have you eaten?	Kumain ka na?
He became rich.	Naging mayaman siya.
He loves music.	Mahal niya ang musika.
He sang a song.	Kumanta siya ng kanta.
He surrendered.	Sumuko siya.
How disgusting!	Napakakadiri!
How wide is it?	Gaano iyon kalawak?
I am a tourist.	Turista ako.
I drink coffee.	Umiinom ako ng kape.
I drink coffee.	Umiinom ng kape ako.
I hate Mondays.	Ayaw ko ng mga Lunes.
I hurried home.	Binilisan ko umuwi.
I like castles.	Gusto ko ang mga kastilyo.
I like the dog.	Gusto ko yung aso.
I like turtles.	Gusto ko ang mga pagong.
I love bananas.	Mahal ko ang saging.
I love lasagna.	Gusto ko ang lasagna.
I said shut up!	Sabi ko'y sarhan ang bunganga mo!
I walked alone.	Naglakad ako mag-isa.
I'm Tom's wife.	Ako ang asawa ni Tom.
I'm eating now.	Kumakain ako ngayon.
It was nothing.	Wala yun.
It's his fault.	Sinisi ko siya sa kasalanan niya.
Leave me alone!	Iwanan mo ako!
Louder, please.	Paki lakasan.
Lynn runs fast.	Mabilis tumakbo si Lynn.
May I use this?	Maaari ko bang gamitin ito?
Men are simple.	Simple lang ang kalalakihan.
Nobody laughed.	Walang tumawa.
Nobody listens.	Walang nakikinig.
Open your eyes.	Buksan mo ang mata mo.
Shall we dance?	Magsayaw ba tayo?
Shall we dance?	Maaari ba tayong sumayaw?
She came alone.	Dumating siyang mag-isa.
She sings well.	Magaling siyang kumanta.
Start counting.	Simulan ang pagbibilang.
Start counting.	Magsimula ng pagbibilang.
The tea is hot.	Mainit ang tsa.
Their eyes met.	Nagtagpo ang mga mata nila.
They quarreled.	Nagaway sila.
Tom approached.	Lumapit si Tom.
Tom intervened.	Namagitan si Tom.
Tom remembered.	Naalala ni Tom.
Tom understood.	Naiintindihan ni Tom.
Tom volunteers.	Nagboluntaryo si Tom.
Wash your face.	Hugasan mo ang iyong mukha.
We surrendered.	Sumuko kami.
Who complained?	Sinong nagreklamo?
You look bored.	Mukha kang inip.
You're nothing.	Wala ka.
Are drinks free?	Libre ba and mga inumin?
Are we finished?	Tapos na ba tayo?
Are we prepared?	Handa ba tayo?
Are we prepared?	Handa na ba tayo?
Change is scary.	Nakakatakot ang pagbabago.
Come downstairs.	Bumaba ka.
Did you make it?	Ginawa mo ba?
Do you remember?	Naaalala mo ba?
Don't be greedy.	Huwag maging sakim.
Don't overdo it.	Huwag sobra.
Drink your milk.	Inumin ang gatas mo.
Everybody knows.	Alam ng lahat.
Everyone agreed.	Sumang-ayon ang lahat.
Everyone looked.	Ang bawat tao'y tumingin.
Everyone prayed.	Ang bawat tao'y nanalangin.
Everyone smiled.	Ang bawat tao'y ngumiti.
Everyone waited.	Ang bawat tao'y naghintay.
Get back inside.	Bumalik ka sa loob.
Green suits you.	Bagay sayo ang luntian.
He bought a hat.	Bumili siya ng sumbrero.
He was standing.	Nakatindig siya.
He's my husband.	Asawa ko siya.
Hold the candle.	Hawakan mo ang kandila.
How do you feel?	Anong pakiramdam mo?
How is everyone?	Kumusta kayong lahat?
How'd you do it?	Paano mo ginawa iyon?
I am speechless.	Wala akong masabi.
I couldn't stop.	Hindi ako makatigil.
I couldn't wait.	Hindi ako makapaghintay.
I didn't scream.	Hindi ako sumigaw.
I have homework.	Mayroon akong takdang-aralin.
I have to leave.	Kailangan kong umalis.
I haven't slept.	Hindi pa ako nakakatulog.
I haven't tried.	Hindi ko pa nasubukan.
I just finished.	Kakatapos ko lang.
I know Tom lied.	Alam kong nagsinungaling si Tom.
I know you know.	Alam kong alam mo.
I like that dog.	Gusto ko yung asong yun.
I like this dog.	Gusto ko itong asong ito.
I like your dog.	Gusto ko yung aso mo.
I lost my phone.	Nawala ko ang aking telepono.
I lost my watch.	Nawala ko ang relo ko.
I love teaching.	Mahal ko ang pagtuturo.
I love you, Tom.	Mahal kita, Tom.
I need to sleep.	Dapat akong matulog.
I saw Tom blink.	Nakita kong kumurap si Tom.
I saw Tom there.	Nakita ko si Tom doon.
I saw something.	May nakita ako.
I think it's OK.	Sa tingin ko OK lang.
I voted for Tom.	Ibinoto ko si Tom.
I want to drink.	Gusto kong uminom.
I was surprised.	Nagulat ako.
I'd rather stay.	Mas gusto kong manatili dito.
I'll allow this.	Papayagan ko ito.
I'll ask around.	Magtatanong-tanong ako sa paligid.
I'll assist you.	Tutulungan kita.
I'll come along.	Sasama ako.
I'll follow you.	Susundan kita.
I'm a foreigner.	Dayuhan ako.
I'm just joking.	Nagbibiro lang ako.
I'm needed here.	Kailangan ako dito.
I'm not certain.	Hindi ako sigurado.
I'm not sulking.	Hindi ako nagmumukmok.
I'm not thirsty.	Hindi ako uhaw.
I'm not working.	Hindi ako nagtatrabaho.
I'm not yelling.	Hindi ako sumisigaw.
Is Tom dreaming?	Nananaginip ba si Tom?
Is he satisfied?	Kontento ba siya?
Is this car new?	Bago ba itong awto?
It's a nice day.	Maganda ang araw.
Large, isn't it?	Malaki, di ba?
Let's finish up.	Tapusin na natin ito.
Let's forget it.	Kalimutan na natin.
Life's not fair.	Hindi matuwid ang buhay.
My house is big.	Malaki ang bahay ko.
Nobody answered.	Walang sumagot.
Please sit down.	Maupo ka.
Put your hat on.	Isuot mo ang sumbrero mo.
Rules are rules.	Ang alituntunin ay alituntunin.
She disappeared.	Nawala siya.
She worked hard.	Matiyaga siyang nagtrabaho.
That can happen.	Pwedeng mangyari iyon.
That is a table.	Mesa iyon.
That is a table.	Mesa iyan.
That's too much!	Sobra na yan!
There's no salt.	Walang asin.
These are birds.	Mga ibon ito.
They angered me.	Ginalit nila ako.
They didn't run.	Hindi sila tumakbo.
They ignored me.	Hindi nila ako pinansin.
They lost again.	Natalo nanaman sila.
They lost again.	Natalo ulit sila.
They were lucky.	Sinuwerte sila.
They're in love.	Nagmamahalan sila.
Tom disappeared.	Nawala si Tom.
Tom drinks wine.	Umiinom ng alak si Tomas.
Tom felt uneasy.	Nababalisa si Tom.
Tom is new here.	Bago dito si Tom.
Tom is shopping.	Namamalengke si Tomas.
Tom surrendered.	Sumuko si Tom.
Tom understands.	Naiintindihan ni Tom.
We have bananas.	May saging kami.
We have bananas.	May saging tayo.
We love picnics.	Gusto namin ang mga piknik.
We met a writer.	Natagpo namin ang manunulat.
We sang for her.	Ipinagkanta namin siya.
We study Arabic.	Nag-aaral kami ng Arabo.
We're neighbors.	Magkapitbahay kami.
We're neighbors.	Magkakapitbahay kami.
What time is it?	Ano'ng oras na?
What was stolen?	Anong nanakaw?
Where is Father?	Nasaan si tatay?
Who did you ask?	Sinong tinanong mo?
Who surrendered?	Sinong sumuko?
Who volunteered?	Sinong nagboluntaryo?
You always sing.	Palagi kang kumakanta.
You always sing.	Parati kang kumakanta.
You look stupid.	Mukha kang tanga.
Any book will do.	Puwede ang anumang libro.
Are you all lost?	Nawawala ba kayong lahat?
Breathe normally.	Huminga nang normal.
Can you call him?	Puwede mo bang tawagan siya?
Cut the potatoes.	Maghiwa ng patatas.
Did you know him?	Kilala mo ba siya?
Did you see that?	Nakita mo iyon?
Do as I told you.	Gawin mo ang sinabi ko sa iyo.
Do you deny that?	Itinatanggi mo ba iyon?
Do you live here?	Nakatira ka ba rito?
Does Tom like me?	Gusto ba ako ni Tom?
Drink this juice.	Inumin ang katas na ito.
Everybody jumped.	Ang lahat ay tumalon.
Everybody jumped.	Tumalon ang lahat.
Everybody laughs.	Tumatawa ang lahat.
Everybody smiled.	Ngumiti ang lahat.
Everybody stayed.	Nanatili ang lahat.
Everybody waited.	Naghintay ang lahat.
Everyone escaped.	Nakatakas ang lahat.
Explain yourself.	Ipaliwanag mo ang iyong sarili.
Give me a little.	Bigyan mo ako ng konti.
Go on without me.	Tuloy ka nang wala ako.
Hand me my towel.	Iabot mo sa akin ang tuwalya ko.
Have you done it?	Ginawa mo ba?
He must be tired.	Siguro pagod siya.
How much is this?	Magkano ito?
How would I know?	Paano ko maaalaman?
I almost drowned.	Muntik na akong malunod.
I already saw it.	Nakita ko na.
I also like cake.	Gusto ko rin ng keyk.
I am from Brazil.	Taga-Brasil ako.
I am from Norway.	Ako ay taga Norway.
I am from Norway.	Taga Norway ako.
I believe in God.	Naniniwala ako sa Diyos.
I didn't like it.	Ayoko nyan.
I didn't mean it.	Di ko sinadya.
I didn't see her.	Di ko siya nakita.
I feel something.	May nararamdaman ako.
I feel something.	Mayroon akong nararamdaman.
I hit on an idea.	Meron akong naisip.
I like your dogs.	Gusto ko yung mga aso mo.
I love astronomy.	Mahal ko ang astronomiya.
I made it myself.	Ginawa ko iyon nang sarili ko.
I still love Tom.	Mahal ko pa rin si Tom.
I swim every day.	Naglalangoy ako araw-araw.
I understand you.	Naiintindihan kita.
I will shoot him.	Babarilin ko siya.
I wish I had one.	Sana meron din ako.
I'll go with you.	Sasamahan kita.
I'm a vegetarian.	Isa akong vegetarian.
I'm going to bed.	Matutulog na ako!
I'm proud of you.	Ipinagmamalaki kita.
It needs washing.	Kailangang labhan.
It's so exciting.	Talagang masigla.
Leave this to me.	Iwanan mo ito sa akin.
Let's fly a kite.	Magpalipad tayo ng saranggola.
Let's have a try.	Subukan natin.
Let's have sushi.	Mag-sushi tayo.
Make way, please.	Makikiraan po.
My stomach hurts.	Masakit ang aking tiyan.
My tie is orange.	Narangha ang kurbata ko.
No need to worry.	Huwag mag-alala.
Nobody remembers.	Walang nakakaalala.
Nobody will know.	Walang makakaalam.
Oh no, not again!	Ayan na naman!
Please don't cry.	Tahan na.
She has gone out.	Lumabas na siya.
She is an expert.	Dalubhasa siya.
She may not come.	Maaaring hindi siya dumating.
She smokes a lot.	Malimit siyang manigarilyo.
She startled him.	Ginitla niya siya.
Someone screamed.	Mayroong sumigaw.
That man is dead.	Patay iyong taong iyon.
That's realistic.	Makatotohanan iyon.
The boy was full.	Busog na ang batang lalaki.
The can is empty.	Walang laman ang lata.
There's no doubt.	Walang duda.
They disappeared.	Nawala sila.
Things got worse.	Lumala ang mga bagay-bagay.
This fish is big.	Malaki ang isdang ito.
This fish is big.	Malaki ang isda.
Tom arrived last.	Huling dumating si Tom.
Tom is resilient.	Hindi madaling mabigo si Tom.
Tom will like me.	Magugustuhan ako ni Tom.
Turn right there.	Lumiko ka diyan.
Walk more slowly.	Bagalan mo ang iyong paglalakad.
We arrived first.	Nauna tayong dumating.
We met on Sunday.	Nagkita kami nung Linggo.
We sat in a ring.	Umupo kami nang pabilog.
We're in a hurry.	Nagmamadali kami.
We're in a hurry.	Nagmamadali tayo.
What did you buy?	Anong binili mo?
What do you want?	Anong gusto mo?
What does she do?	Ano ang ginagawa niya?
What is wabisabi?	Ano ba ang "wabi-sabi"?
What woke you up?	Anong nakagising sa iyo?
What's happening?	Anong nangyayari?
What's your wish?	Anong nais mo?
Where do I start?	Saan ako magsisimula?
You may go there.	Puwede kang pumaroon.
You really stink.	Ang baho mo masyado.
You should sleep.	Dapat matulog ka na.
You're the owner.	Ikaw ang may-ari.
Your fly is open!	Bukas ang zipper mo!
Your shoe stinks.	Ang baho ng sapatos mo.
Your shoes stink.	Ang baho ng sapatos mo.
Aren't you sleepy?	Di ka ba inaantok?
Call an ambulance.	Tumawag ka ng ambulansya.
Did you know that?	Alam mo ba iyon?
Do you wish to go?	Gusto mo bang pumunta?
Don't rely on him.	Huwag mo siyang asahan.
Everybody laughed.	Tumawa ang lahat.
Everyone screamed.	Ang bawat tao'y sumigaw.
Get ready quickly.	Maghanda ka nang mabilis.
Go ahead and talk.	Sige't magsalita.
He asked for food.	Humingi siya ng pagkain.
He does not smoke.	Hindi siya naninigarilyo.
He is a good shot.	Mahusay siyang bumaril.
He lives close by.	Malapit siyang nakatira.
He sat on the bed.	Umupo siya sa kama.
He's studying now.	Nag-aaral siya ngayon.
How lucky you are!	Kay suwerte mo naman!
How lucky you are!	Suwerte mo naman!
How should I know?	Paano ko maaalaman?
I am almost ready.	Halos handa na ako.
I didn't kiss Tom.	Hindi ko hinalikan si Tom.
I don't have time.	Wala akong oras.
I have a headache.	Masakit ang ulo ko.
I listen to music.	Nakikinig ako sa musika.
I lost an earring.	Nawalan ako ng hikaw.
I saw an airplane.	Nakita ko ang eroplano.
I want to be rich.	Gusto kong maging mayaman.
I was out all day.	Buong araw akong wala sa bahay.
I was very hungry.	Ginutom ako ng maigi.
I went on reading.	Tinuloy ko ang pagbabasa.
I'll get some ice.	Kukuha ako ng yelo.
Is his story true?	Totoo ba ang istorya niya?
It is very simple.	Talagang simple.
It's only a dream.	Pangarap lamang iyon.
It's only a dream.	Panaginip lamang iyon.
It's raining here.	Umuulan dito.
Life is beautiful.	Maganda ang buhay.
Mary is beautiful.	Maganda si Mary.
May I talk to you?	Maari ba kitang makausap?
May I talk to you?	Puwede ba kitang kausapin?
My uncle is angry.	Galit ang aking tiyo.
Nothing had moved.	Walang gumalaw.
Nothing had moved.	Walang umibo.
Please explain it.	Pakipaliwanag mo nga.
She took her book.	Dinala niya ang kanyang aklat.
She took her book.	Dinala niya ang kanyang libro.
Somebody answered.	Merong sumagot.
